PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
Joe Harris,BKN,0.0,0.043,0.033,0.129,0.0,0.275,0.138,0.054,2020,0
Robert Covington,HOU,0.023,0.039,0.078,0.212,0.0,0.571,0.0,0.037,2020,0
Cam Reddish,ATL,0.035,0.214,0.0,0.206,0.0,0.293,0.123,0.037,2020,1
Brad Wanamaker,BOS,0.032,0.305,0.0,0.232,0.0,0.263,0.036,0.03,2020,1
Al Horford,BOS,0.03,0.0,0.177,0.146,0.237,0.203,0.0,0.053,2020,3
Terence Davis,TOR,0.03,0.178,0.0,0.247,0.0,0.296,0.024,0.06,2020,1
Langston Galloway,DET,0.0,0.078,0.025,0.174,0.0,0.348,0.139,0.018,2020,0
Garrett Temple,BKN,0.041,0.147,0.022,0.16,0.0,0.371,0.045,0.034,2020,0
Dorian Finney-Smith,DAL,0.0,0.034,0.077,0.175,0.0,0.425,0.017,0.077,2020,0
Bryn Forbes,SAS,0.0,0.138,0.0,0.183,0.0,0.373,0.141,0.0,2020,0
Ricky Rubio,PHO,0.023,0.393,0.0,0.147,0.0,0.245,0.071,0.02,2020,4
Brandon Clarke,MEM,0.026,0.0,0.229,0.172,0.023,0.205,0.0,0.139,2020,5
Cameron Johnson,PHO,0.0,0.035,0.0,0.222,0.0,0.437,0.046,0.074,2020,0
Gary Harris,DEN,0.021,0.123,0.0,0.194,0.0,0.253,0.239,0.066,2020,1
Seth Curry,DAL,0.042,0.232,0.0,0.163,0.0,0.344,0.049,0.0,2020,1
Lauri Markkanen,CHI,0.016,0.024,0.154,0.17,0.038,0.314,0.027,0.063,2020,5
Derrick Jones jr.,MIA,0.0,0.023,0.0,0.309,0.0,0.315,0.0,0.184,2020,0
Derrick White,SAS,0.027,0.315,0.016,0.176,0.0,0.293,0.037,0.019,2020,1
Monte Morris,DEN,0.031,0.417,0.0,0.177,0.0,0.18,0.071,0.057,2020,4
Tomas Satoransky,CHI,0.038,0.32,0.0,0.161,0.0,0.25,0.06,0.044,2020,1
John Collins,ATL,0.019,0.0,0.28,0.124,0.081,0.16,0.019,0.136,2020,2
